school,percent_initially_unlabeled,1_MV_gender_mean_auc_wt,1_MV_gender_se_auc_wt,2_MV_gender_mean_auc_wt,2_MV_gender_se_auc_wt
American75,0.5,0.56917810117512224,0.0090495465229505322,0.76746097490456611,0.013387307090924588
Amherst41,0.5,0.65068480383583882,0.013010981754654259,0.74743059852674876,0.033526118775837756
Auburn71,0.5,0.65117340946816216,0.0068648920957645847,0.78635134477424362,0.0095860345510299146
Baylor93,0.5,0.70535856686083176,0.0034699809095544453,0.86603501212660028,0.0093563639611555418
BC17,0.5,0.60876277600236772,0.0081841527461565932,0.83150435202236783,0.014321659677883753
Berkeley13,0.5,0.62966275222090895,0.004042295438278224,0.76845810461594888,0.0045791714596447363
Bingham82,0.5,0.58923583267417945,0.0054269427175069954,0.79598890661386079,0.0060239775639621953
Bowdoin47,0.5,0.62217191526556814,0.012804412384704643,0.71850403930321816,0.033737361098382476
Brandeis99,0.5,0.58910483497279675,0.0099078978972568198,0.75747221631606221,0.019245949571328257
Brown11,0.5,0.59408448264835056,0.0059939499334599562,0.75995115671772273,0.012128691797649249
BU10,0.5,0.59122641601272341,0.0050195951282650877,0.80669776064196552,0.0034088844230022084
Bucknell39,0.5,0.71606805437929721,0.010052343261796239,0.83792716523246946,0.012002002724812062
Cal65,0.5,0.58469829378535643,0.005747280738330909,0.78199183334262767,0.0083058853851030595
Caltech36,0.5,0.63893909877474553,0.024691461801073792,0.67628664472256572,0.039340027591855238
Carnegie49,0.5,0.71253774517572555,0.0028344760960352816,0.78794504017104938,0.016788989755802983
Colgate88,0.5,0.69190905030388339,0.0064343616430283844,0.83547746149949931,0.016823690156881583
Columbia2,0.5,0.67907921309161579,0.0055333381918392125,0.78838904649573538,0.0085448724173143639
Cornell5,0.5,0.68505158105251651,0.0039098641773735445,0.79564083701654309,0.0093854558912145579
Dartmouth6,0.5,0.6911674409652625,0.0088921565451513425,0.80170511561708546,0.0078440772259946879
Duke14,0.5,0.71213400099072888,0.0041327481123793128,0.80798944063839662,0.0057452681207950732
Emory27,0.5,0.69698634697127027,0.0070956838236624509,0.81669871224226909,0.015790433978405655
FSU53,0.5,0.56448541846786604,0.0034366569274693636,0.79001060345022123,0.0068773659375008529
Georgetown15,0.5,0.5799847857353907,0.0081342226652620694,0.76842159624751161,0.01926776734010098
GWU54,0.5,0.57330273292249934,0.0073106637172596165,0.78401083195480448,0.0099904805972375419
Hamilton46,0.5,0.7115199222202504,0.013038144617136583,0.81071286552674027,0.03014505481446584
Harvard1,0.5,0.63481693804540495,0.0048119535476429647,0.75025348999086428,0.011705708892928076
Haverford76,0.5,0.68756206048822599,0.0097609969761559747,0.72182368190026325,0.024855803849537908
Howard90,0.5,0.40024286085967226,0.0096201320814471112,0.89535742714788213,0.0071220883835887549
Indiana69,0.5,0.56392026395610628,0.0017715946854506216,0.84047336354641011,0.0055277616294575546
JMU79,0.5,0.5534283569206655,0.0044769956442239391,0.835980990107139,0.0048645585383398785
Johns Hopkins55,0.5,0.67506182609181464,0.0063651784370104842,0.7689396857163725,0.016206587105558296
Lehigh96,0.5,0.68042118209669655,0.0064076853625968369,0.84330188486387248,0.0095040048794740629
Maine59,0.5,0.54833706856075737,0.0046960050284256946,0.77816986504419927,0.0084780758113121579
Maryland58,0.5,0.64398625770653761,0.0046542206717110953,0.80959821547919708,0.0056741950431101066
Mich67,0.5,0.65545897457516133,0.0092947152333125276,0.80581314633261858,0.013542600515980602
Michigan23,0.5,0.67015724047713499,0.002373675576160931,0.80331629081158751,0.0051657969628031127
Middlebury45,0.5,0.61905589060761801,0.011005595800195396,0.73414637407852534,0.022513484098459602
Mississippi66,0.5,0.67853564486068607,0.0059296946529124334,0.82302053626319849,0.008632354497706109
MIT8,0.5,0.71743193038093811,0.0077760014269974394,0.80320755668629362,0.012866518198254406
MSU24,0.5,0.57485574660993222,0.0029620178405302153,0.80360065799649871,0.0053982848811544373
MU78,0.5,0.69403945411592483,0.0037234590029382912,0.82466413426914476,0